epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
,0.0001,0.0001,134,,,,,,,,,
0,,,134,,0.08077605813741684,,28.999977111816406,,38.78175735473633,,,
,0.0001,0.0001,139,,,,,,,,,
0,,,139,,0.06464219093322754,,23.69780731201172,,34.693180084228516,,,
,0.0001,0.0001,144,,,,,,,,,
0,,,144,,0.05707220360636711,,27.077625274658203,,32.59856033325195,,,
,0.0001,0.0001,149,,,,,,,,,
0,,,149,,0.05642733722925186,,27.464412689208984,,32.41386795043945,,,
,0.0001,0.0001,154,,,,,,,,,
0,,,154,,0.051460132002830505,,28.0400333404541,,30.954341888427734,,,
,0.0001,0.0001,159,,,,,,,,,
0,,,159,,0.07697342336177826,,25.948087692260742,,37.9105224609375,,,
,0.0001,0.0001,164,,,,,,,,,
0,,,164,,0.04294827580451965,,20.688980102539062,,28.278669357299805,,,
,0.0001,0.0001,169,,,,,,,,,
0,,,169,,0.03216623514890671,,19.177160263061523,,24.472946166992188,,,
,0.0001,0.0001,174,,,,,,,,,
0,,,174,,0.10564795881509781,,30.510658264160156,,45.89546203613281,,,
,0.0001,0.0001,179,,,,,,,,,
0,,,179,,0.14324979484081268,,32.58168029785156,,60.05000686645508,,,
,0.0001,0.0001,184,,,,,,,,,
0,,,184,,0.045743949711322784,,24.074378967285156,,29.18454360961914,,,
,0.0001,0.0001,189,,,,,,,,,
0,,,189,,0.06786836683750153,,26.156692504882812,,35.54838180541992,,,
,0.0001,0.0001,194,,,,,,,,,
0,,,194,,0.11413174867630005,,36.86967468261719,,46.105342864990234,,,
,0.0001,0.0001,199,,,,,,,,,
0,,,199,,0.05393587797880173,,25.2073917388916,,31.69019889831543,,,
,0.0001,0.0001,204,,,,,,,,,
0,,,204,,0.0983494371175766,,34.09416961669922,,42.79293441772461,,,
,0.0001,0.0001,209,,,,,,,,,
0,,,209,,0.04949743300676346,,26.546791076660156,,30.358293533325195,,,
,0.0001,0.0001,214,,,,,,,,,
0,,,214,,0.027758581563830376,,19.317520141601562,,22.734464645385742,,,
,0.0001,0.0001,219,,,,,,,,,
0,,,219,,0.10740932822227478,,32.966373443603516,,46.28855514526367,,,
,0.0001,0.0001,224,,,,,,,,,
0,,,224,,0.062098342925310135,,22.280399322509766,,34.003692626953125,,,
,0.0001,0.0001,229,,,,,,,,,
